subsite_store,shipment_state,total,currency,bill_city,bill_zipcode,bill_country_iso_name,quantity,completed_year,completed_month,completed_day
Klippkungen,shipped,168.0,SEK,Borlänge,784 66,SE,1,2020,3,17
Klippkungen,shipped,436.0,SEK,Tyringe,282 34,SE,1,2020,3,17
Klippkungen,shipped,327.0,SEK,Kiruna,981 33,SE,1,2020,3,22
Klippkungen,shipped,1234.7,SEK,Uppsala,754 39,SE,1,2020,3,18
Klippkungen,shipped,634.0,SEK,Örebro,702 31,SE,1,2020,3,21
Klippkungen,shipped,683.0,SEK,Ullared,311 60,SE,1,2020,3,18
Klippkungen,shipped,516.0,SEK,Umeå,903 63,SE,1,2020,3,18
Klippkungen,shipped,668.0,SEK,Gällivare,982 36,SE,1,2020,4,1
Klippkungen,shipped,1266.0,SEK,Eskilstuna,632 32,SE,1,2020,3,19
Klippkungen,shipped,466.0,SEK,Vällingby,162 71,SE,1,2020,3,19
Klippkungen,shipped,505.0,SEK,Julita,643 96,SE,1,2020,3,20
Klippkungen,shipped,505.0,SEK,Julita,643 96,SE,1,2020,3,20
Klippkungen,shipped,600.0,SEK,Slite,624 46,SE,1,2020,3,21
Klippkungen,shipped,345.0,SEK,Lindome,437 33,SE,1,2020,3,20
Klippkungen,shipped,629.0,SEK,Kälarne,844 61,SE,1,2020,3,20
Klippkungen,shipped,593.0,SEK,Vagnhärad,619 71,SE,1,2020,3,26
Klippkungen,shipped,764.0,SEK,Ljung,524 96,SE,1,2020,3,21
Klippkungen,shipped,416.0,SEK,Falkenberg,311 41,SE,1,2020,3,21
Klippkungen,shipped,476.0,SEK,Åsele,919 91,SE,1,2020,3,21
Klippkungen,shipped,665.0,SEK,Förslöv,269 72,SE,1,2020,3,22
Klippkungen,shipped,860.0,SEK,Gunnebo,593 75,SE,1,2020,3,31
Klippkungen,shipped,1398.0,SEK,Upplands Väsby,194 44,SE,1,2020,3,22
Klippkungen,shipped,1398.0,SEK,Upplands Väsby,194 44,SE,1,2020,3,22
Klippkungen,shipped,2583.9,SEK,Munka-Ljungby,266 92,SE,1,2020,3,21
Klippkungen,shipped,367.0,SEK,Haparanda,953 31,SE,1,2020,3,24
Klippkungen,shipped,616.0,SEK,Danderyd,182 50,SE,1,2020,3,22
Klippkungen,shipped,506.0,SEK,Undrom,881 95,SE,1,2020,3,22
Klippkungen,shipped,634.0,SEK,Norrtälje,761 31,SE,1,2020,3,23
Klippkungen,shipped,564.0,SEK,Linköping,589 53,SE,1,2020,5,13
Klippkungen,shipped,655.0,SEK,Åby,616 90,SE,1,2020,3,22
Klippkungen,shipped,421.0,SEK,Stockholm,113 50,SE,1,2020,3,22
Klippkungen,shipped,643.0,SEK,Vittsjö,282 66,SE,1,2020,3,23
Klippkungen,shipped,1075.0,SEK,Trelleborg,231 36,SE,1,2020,3,27
Klippkungen,shipped,405.0,SEK,Arvidsjaur,933 34,SE,1,2020,3,23
Klippkungen,shipped,1333.0,SEK,Taberg,562 42,SE,1,2020,3,23
Klippkungen,shipped,1180.0,SEK,Ludvika,771 90,SE,1,2020,3,27
Klippkungen,shipped,306.0,SEK,Göteborg,415 55,SE,1,2020,3,24
Klippkungen,shipped,603.0,SEK,Skövde,541 92,SE,1,2020,3,23
Klippkungen,shipped,287.0,SEK,Finspång,612 42,SE,2,2020,3,23
Klippkungen,shipped,523.0,SEK,Örnsköldsvik,891 61,SE,1,2020,3,29
Klippkungen,shipped,914.0,SEK,Uppsala,755 91,SE,1,2020,3,25
Klippkungen,shipped,1677.0,SEK,Oxelösund,613 32,SE,1,2020,3,25
Klippkungen,shipped,530.0,DKK,Haslev,4690,DK,1,2020,3,24
Klippkungen,shipped,535.0,SEK,Borlänge,784 40,SE,1,2020,3,24
Klippkungen,shipped,211.0,DKK,Randers NØ,8930,DK,1,2020,3,24
Klippkungen,shipped,521.0,DKK,Rønne,3700,DK,1,2020,3,24
Klippkungen,shipped,534.0,SEK,Kolsva,731 12,SE,1,2020,3,25
Klippkungen,shipped,912.0,SEK,Umeå,907 42,SE,1,2020,3,24
Klippkungen,shipped,475.0,SEK,Kramfors,872 31,SE,1,2020,3,25
Klippkungen,shipped,366.0,SEK,Trollhättan,461 91,SE,1,2020,3,26
